TransitionSource,Paragraph4,Text_Area,Paragraph1,Formula,Paragraph3,Paragraph2,Figure,SubFigure2,SubFigure1,SubFigure3,Paragraph5,Paragraph6
Paragraph4,7,7,0,4,4,5,2,2,3,0,1,1
Text_Area,6,2,11,3,11,10,5,2,8,0,15,8
Paragraph1,0,10,6,0,4,7,1,0,0,0,2,0
Formula,1,3,1,4,0,4,6,1,9,2,1,1
Paragraph3,3,0,4,1,7,2,0,3,3,0,7,1
Paragraph2,6,14,5,1,1,3,2,1,0,0,0,0
Figure,2,15,0,10,0,0,3,26,17,7,0,7
SubFigure2,0,6,1,1,0,2,23,16,24,23,3,2
SubFigure1,1,7,0,6,0,0,31,20,12,3,1,0
SubFigure3,1,2,0,2,0,0,7,21,1,5,0,2
Paragraph5,6,5,1,1,4,0,5,8,0,0,11,7
Paragraph6,1,12,1,0,0,0,2,1,4,1,7,32
