AOI,p1x,p1y,p2x,p2y
Paragraph1,86.15384615,170.7692308,548.9230769,365.2307692
Paragraph2,569.8461538,169.5384615,1028.923077,370.1538462
Paragraph3,80,396,551.3846154,546.1538462
Paragraph4,572.3076923,394.7692308,1031.384615,549.8461538
Paragraph5,78.76923077,570.7692308,553.8461538,775.0769231
Paragraph6,97.23076923,799.6923077,1011.692308,975.6923077
Text_Area,68.92307692,169.5384615,1033.846154,1000.307692
SubFigure1,1101.538462,383.6923077,1352.615385,819.3846154
SubFigure2,1358.769231,382.4615385,1591.384615,829.2307692
SubFigure3,1602.461538,380,1849.846154,832.9230769
Figure,1043.692308,366.4615385,1885.538462,850.1538462
Formula,1085.538462,170.7692308,1837.538462,322.1538462
