AOI,p1x,p1y,p2x,p2y,task
Static Stimulus_Cancel_Event1,248.615384615385,933.846153846154,393.846153846154,997.846153846154,Static Stimulus
Static Stimulus_Insert_Event_Part_Type,1282.46153846154,611.384615384615,1693.53846153846,750.461538461538,Static Stimulus
Static Stimulus_.DS_Store,1282.46153846154,611.384615384615,1693.53846153846,750.461538461538,Static Stimulus
Static Stimulus_Plan,939.076923076923,964.615384615385,992.0,1032.30769230769,Static Stimulus
Static Stimulus_Graph_Legend_hour,750.769230769231,405.846153846154,793.846153846154,626.153846153846,Static Stimulus
Static Stimulus_Insert_Event_Time_Calc,1281.23076923077,770.153846153846,1694.76923076923,899.384615384615,Static Stimulus
Static Stimulus_Insert_Event_Date2,1282.46153846154,324.615384615385,1689.84615384615,410.769230769231,Static Stimulus
Static Stimulus_Insert_Event_Name1,228.923076923077,234.769230769231,651.076923076923,317.230769230769,Static Stimulus
Static Stimulus_History,756.923076923077,729.538461538462,1172.92307692308,873.538461538462,Static Stimulus
Static Stimulus_Total_KM,764.307692307692,233.538461538462,953.846153846154,356.615384615385,Static Stimulus
Static Stimulus_Graph_Legend,801.230769230769,638.461538461538,1154.46153846154,709.846153846154,Static Stimulus
Static Stimulus_Insert_Event_Type2,1282.46153846154,420.615384615385,1692.30769230769,504.307692307692,Static Stimulus
Static Stimulus_Submit_Event,1539.69230769231,935.076923076923,1687.38461538462,994.153846153846,Static Stimulus
Static Stimulus_Insert_Event_Type1,228.923076923077,423.076923076923,653.538461538462,500.615384615385,Static Stimulus
Static Stimulus_Total_Hours,977.230769230769,232.307692307692,1168.0,357.846153846154,Static Stimulus
Static Stimulus_You,1083.07692307692,965.846153846154,1142.15384615385,1029.84615384615,Static Stimulus
Static Stimulus_Graph,798.769230769231,407.076923076923,1152.0,624.923076923077,Static Stimulus
Static Stimulus_Add_Event,491.076923076923,927.692307692308,649.846153846154,997.846153846154,Static Stimulus
Static Stimulus_Header_Edit_Event,1280.0,112.923076923077,1687.38461538462,226.153846153846,Static Stimulus
Static Stimulus_Insert_Event_Name2,1282.46153846154,233.538461538462,1687.38461538462,316.0,Static Stimulus
Static Stimulus_Insert_Event_Date1,228.923076923077,323.384615384615,652.307692307692,414.461538461539,Static Stimulus
Static Stimulus_Header_Info,227.692307692308,122.769230769231,648.615384615385,227.384615384615,Static Stimulus
Static Stimulus_aois.csv,227.692307692308,122.769230769231,648.615384615385,227.384615384615,Static Stimulus
Static Stimulus_Week,802.461538461538,183.076923076923,1138.46153846154,224.923076923077,Static Stimulus
Static Stimulus_Home,782.769230769231,967.076923076923,854.153846153846,1026.15384615385,Static Stimulus
Static Stimulus_Welcome_User,756.923076923077,117.846153846154,930.461538461539,163.384615384615,Static Stimulus
Static Stimulus_Insert_Event_Duration,1284.92307692308,511.692307692308,1694.76923076923,602.769230769231,Static Stimulus
Static Stimulus_Activity,754.461538461538,884.615384615385,1172.92307692308,953.538461538462,Static Stimulus
Static Stimulus_Cancel_Event2,1287.38461538462,937.538461538462,1435.07692307692,992.923076923077,Static Stimulus
